Game Type,Matchup,X Wins,O Wins,Ties,Average X Move Time (s),Average O Move Time (s),Total Moves,Blocked Wins (X),Blocked Wins (O),Missed Wins (X),Missed Wins (O),X Depth,O Depth,X Iterations,O Iterations,X Exploration Constant,O Exploration Constant
TicTacToe,MCTSPlayer vs ab_minimax,0,0,1,0.3032830715179443,0.0,9,1,2,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,1,0,0,0.2977060794830322,0.0002740621566772,9,1,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.3521543741226196,0.0,8,1,2,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,0,1,0.2885111331939697,0.0005121827125549,9,1,2,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,1,0,0,0.2939728260040283,0.00025475025177,9,1,2,1,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.3381950855255127,0.0005410313606262,8,1,3,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.3438577651977539,0.0,8,0,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.3299849033355713,0.0,8,1,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.4020291169484456,0.0004239082336425,6,0,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.4072453180948893,0.0011256535847981,6,0,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.4077607790629069,0.0,6,0,2,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,0,1,0.2967416763305664,0.000695526599884,9,1,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,0,1,0.2810531139373779,0.0,9,1,2,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,0,1,0.2936538219451904,0.0,9,1,2,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,0,1,0.3065122604370117,0.0,9,1,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,1,0,0,0.332145881652832,0.0005046129226684,9,1,1,1,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.3496896028518677,0.0002511739730834,8,1,3,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.4543817043304443,0.0008487701416015,6,0,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,1,0,0,0.3122887134552002,0.0009639263153076,9,2,2,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,0,1,0.2957668304443359,0.0002734065055847,9,2,2,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.4143376350402832,0.0006677309672037,6,0,0,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.3776255448659261,0.0,6,0,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.3154934048652649,0.0,8,1,2,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,0,1,0.2637547492980957,0.0004705786705017,9,1,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.3729735215504964,0.0005067189534505,6,0,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.3191569447517395,0.0,8,1,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,1,0,0,0.3636568188667297,0.0,7,0,0,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,0,1,0.2831824779510498,0.0012583136558532,9,0,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,0,1,0.2814682483673095,0.0005027651786804,9,0,2,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.3774205843607585,0.0003596941630045,6,0,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,0,1,0.278289794921875,0.0,9,0,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,0,1,0.275189208984375,0.0005018711090087,9,1,3,1,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,0,1,0.2744009017944336,0.0010044574737548,9,1,2,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.3288644552230835,0.0,8,0,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,0,1,0.2830582618713378,0.000244140625,9,1,3,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.3699282805124919,0.0005083084106445,6,0,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,0,1,0.2681524753570556,0.0,9,2,3,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,0,1,0.2792135715484619,0.0007524490356445,9,1,3,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.3216394782066345,0.0003765821456909,8,1,2,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.3465984463691711,0.000243604183197,8,0,2,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,0,1,0.2803555965423584,0.0018761754035949,9,0,3,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.3331872820854187,0.0014222264289855,8,1,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,0,1,0.263918924331665,0.0,9,1,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,0,1,0.2689015388488769,0.0005037784576416,9,1,2,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,0,1,0.2447972297668457,0.0002510547637939,9,2,3,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,0,1,0.275037145614624,0.0,9,0,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,0,1,0.2633796215057373,0.0003186464309692,9,1,2,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,1,0,0,0.2736318111419678,0.000504732131958,9,2,2,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.3784650166829427,0.0010039011637369,6,0,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.3415369391441345,0.0006340146064758,8,0,3,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,1,0,0.3633385896682739,0.000252366065979,8,0,2,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,1,0,0,0.3148128390312195,0.0003365675608317,7,2,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,0,0,1,0.2610321521759033,0.0005156397819519,9,1,2,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,1,0,0,0.3164829015731811,0.0,7,1,1,0,0,,2.0,1500.0,,20.0,
TicTacToe,MCTSPlayer vs ab_minimax,1,0,0,0.3176431059837341,0.000500996907552,7,2,2,0,0,,2.0,1500.0,,20.0,
